Year	BMAT_Section_1	BMAT_Section_2	Offer	BMAT_all	Score	College_ID
2017	7.1	6.7	TRUE	13.8	2.066495260185318	6
2017	5.9	4.7	TRUE	10.600000000000001	0.36855735871270323	1
2017	5.9	4.7	FALSE	10.600000000000001	0.36855735871270323	3
2017	7.4	6.7	TRUE	14.100000000000001	2.2256769384483763	5
2017	4.7	4.3	FALSE	9	-0.48041159202360517	22
2017	3.5	3.7	FALSE	7.2	-1.4355016616019511	12
2017	5.9	5.3	TRUE	11.2	0.6869207152388175	2
2017	5.6	4.9	TRUE	10.5	0.3154967992916832	26
2017	7.4	6.7	TRUE	14.100000000000001	2.2256769384483763	9
2017	4.7	6.5	TRUE	11.2	0.6869207152388175	9
2017	6.3	6.2	TRUE	12.5	1.3767079877120678	9
2017	7.4	7.1	TRUE	14.5	2.437919176132452	23
2017	6.9	6.5	TRUE	13.4	1.854253022501241	7
2017	3.5	4.9	FALSE	8.4	-0.7987749485497203	14
2017	4.7	6	TRUE	10.7	0.4216179181337213	19
2017	4.9	5.1	FALSE	10	0.05019400218658709	12
2017	3.8	3.4	FALSE	7.199999999999999	-1.4355016616019516	28
2017	5.4	4.3	FALSE	9.7	-0.10898767607647097	3
2017	5.2	6.2	FALSE	11.4	0.7930418340808565	4
2017	5.4	5.3	TRUE	10.7	0.4216179181337213	6
2017	5.9	5.5	TRUE	11.4	0.7930418340808565	25
2017	4	4.5	TRUE	8.5	-0.7457143891287014	10
2017	4.3	4.1	FALSE	8.399999999999999	-0.7987749485497213	21
2017	3	4.5	FALSE	7.5	-1.2763199833388936	12
2017	6.1	5.1	FALSE	11.2	0.6869207152388175	11
2017	4.5	5.1	TRUE	9.6	-0.16204823549749	12
2017	4.7	3.7	FALSE	8.4	-0.7987749485497203	5
2017	4	3.9	FALSE	7.9	-1.0640777456548165	9
2017	5.6	4.9	FALSE	10.5	0.3154967992916832	26
2017	5.6	5.3	TRUE	10.899999999999999	0.5277390369757594	25
2017	4	5.1	FALSE	9.1	-0.42735103260258617	27
2017	6.3	6.2	TRUE	12.5	1.3767079877120678	27
2017	5.6	6	TRUE	11.6	0.8991629529228945	6
2017	6.1	4.7	FALSE	10.8	0.4746784775547413	21
