Year	Candidate	College	BMAT_Section_1	BMAT_Section_2	Offer	BMAT_all	Candidate_ID
2017	100501	Magdalene	5.4	5.5	FALSE	10.9	500
2017	100502	St John's	5.2	5.7	FALSE	10.9	501
2017	100503	Girton	4.3	5.1	FALSE	9.399999999999999	502
2017	100504	Gonville and Caius	6.3	6.5	TRUE	12.8	503
2017	100505	Emmanuel	6.6	6.5	TRUE	13.1	504
2017	100506	Magdalene	6.6	5.5	TRUE	12.1	505
2017	100507	Newnham	3.8	4.3	FALSE	8.1	506
2017	100508	Newnham	6.1	4.1	TRUE	10.2	507
2017	100509	Newnham	4	4.7	FALSE	8.7	508
2017	100510	Newnham	4.7	4.7	FALSE	9.4	509
2017	100511	Murray Edwards	5.6	4.7	FALSE	10.3	510
2017	100512	Murray Edwards	5.4	5.5	TRUE	10.9	511
2017	100513	Jesus	6.3	6.2	TRUE	12.5	512
2017	100514	Jesus	5.6	6.2	TRUE	11.8	513
2017	100515	Jesus	6.1	5.7	FALSE	11.8	514
2017	100516	Jesus	7.1	7.5	TRUE	14.6	515
2017	100517	Jesus	5.9	4.9	TRUE	10.8	516
2017	100518	Jesus	5.2	6	TRUE	11.2	517
2017	100519	Jesus	4.7	4.9	FALSE	9.600000000000001	518
2017	100520	King's	4.9	5.3	FALSE	10.2	519
2017	100521	King's	3.8	4.7	FALSE	8.5	520
2017	100522	King's	4.5	4.9	FALSE	9.4	521
2017	100523	King's	6.3	5.3	TRUE	11.6	522
2017	100524	King's	4.7	5.3	FALSE	10	523
2017	100525	Robinson	6.1	5.7	TRUE	11.8	524
2017	100526	St Catharine's	4	5.5	FALSE	9.5	525
2017	100527	St Catharine's	4.9	6.2	FALSE	11.100000000000001	526
2017	100528	St Catharine's	3.3	4.5	FALSE	7.8	527
2017	100529	St Catharine's	3.5	3.4	FALSE	6.9	528
2017	100530	St Catharine's	6.3	6.7	TRUE	13	529
2017	100531	Corpus Christi	6.6	6.5	TRUE	13.1	530
2017	100532	Corpus Christi	6.1	5.1	TRUE	11.2	531
2017	100533	Trinity	4.9	5.7	FALSE	10.600000000000001	532
2017	100534	Trinity	7.8	6	TRUE	13.8	533
2017	100535	Pembroke	5.4	4.7	FALSE	10.100000000000001	534
2017	100536	Pembroke	2.7	3.4	FALSE	6.1	535
2017	100537	Pembroke	4.9	6	TRUE	10.9	536
2017	100538	Pembroke	4.9	5.5	FALSE	10.4	537
2017	100539	Queens'	4.7	3.7	FALSE	8.4	538
2017	100540	Queens'	5.9	6.5	TRUE	12.4	539
2017	100541	Queens'	4.9	4.3	FALSE	9.2	540
2017	100542	Queens'	4	4.3	FALSE	8.3	541
2017	100543	Queens'	4.7	4.9	FALSE	9.600000000000001	542
2017	100544	Queens'	4.5	4.5	FALSE	9	543
2017	100545	Trinity	5.9	4.9	FALSE	10.8	544
2017	100546	Trinity	4	3.7	FALSE	7.7	545
2017	100547	Trinity	3.5	4.3	FALSE	7.8	546
2017	100548	Trinity	5.2	5.3	FALSE	10.5	547
2017	100549	Trinity	3	4.5	FALSE	7.5	548
2017	100550	Trinity	5.9	5.7	TRUE	11.600000000000001	549
2017	100551	Peterhouse	5.2	4.1	TRUE	9.3	550
2017	100552	Selwyn	5.2	6.2	FALSE	11.4	551
2017	100553	Selwyn	5.6	5.3	FALSE	10.899999999999999	552
2017	100554	Selwyn	5.2	4.9	FALSE	10.100000000000001	553
